x,y,bucket,longitude,latitude,speed
506.344,337.702,2,-122.427,37.762,10.185
699.240,318.589,5,-122.395,37.759,14.195
898.164,273.992,1,-122.362,37.752,9.167
385.784,38.265,3,-122.447,37.715,20.174
753.492,452.380,2,-122.386,37.78,12.222
765.548,273.992,2,-122.384,37.752,11.597
307.420,598.913,3,-122.46,37.803,24.826
373.728,146.572,2,-122.449,37.732,10.353
578.680,31.894,2,-122.415,37.714,10.000
138.636,465.122,2,-122.488,37.782,11.019
440.036,108.346,3,-122.438,37.726,18.056
397.840,197.540,2,-122.445,37.74,12.755
614.848,484.235,2,-122.409,37.785,10.935
156.720,388.670,3,-122.485,37.77,22.421
108.496,407.783,2,-122.493,37.773,12.692
325.504,184.798,4,-122.457,37.738,38.333
783.632,152.943,1,-122.381,37.733,9.909
247.140,210.282,1,-122.47,37.742,9.979
162.748,140.201,3,-122.484,37.731,16.944
361.672,586.171,2,-122.451,37.801,10.139
819.800,592.542,3,-122.375,37.802,17.778
403.868,554.316,1,-122.444,37.796,9.764
651.016,216.653,3,-122.403,37.743,24.468
204.944,395.041,5,-122.477,37.771,14.028
102.468,350.444,2,-122.494,37.764,12.951
223.028,293.105,2,-122.474,37.755,11.389
427.980,76.491,2,-122.44,37.721,13.056
289.336,490.606,2,-122.463,37.786,12.292
277.280,458.751,2,-122.465,37.781,11.951
241.112,19.152,3,-122.471,37.712,15.106
548.540,242.137,2,-122.42,37.747,11.325
247.140,554.316,3,-122.47,37.796,15.821
90.412,388.670,2,-122.496,37.77,10.741
530.456,522.461,2,-122.423,37.791,10.293
271.252,165.685,2,-122.466,37.735,10.160
596.764,38.265,1,-122.412,37.715,9.731
560.596,356.815,2,-122.418,37.765,10.092
397.840,452.380,2,-122.445,37.78,12.685
482.232,235.766,1,-122.431,37.746,9.542
524.428,223.024,2,-122.424,37.744,12.130
530.456,312.218,2,-122.423,37.758,12.222
367.700,19.152,3,-122.45,37.712,21.204
313.448,344.073,1,-122.459,37.763,9.771
753.492,197.540,1,-122.386,37.74,9.688
361.672,76.491,2,-122.451,37.721,10.866
614.848,216.653,3,-122.409,37.743,19.136
632.932,579.800,2,-122.406,37.8,10.476
596.764,337.702,3,-122.412,37.762,15.926
590.736,446.009,2,-122.413,37.779,12.116
223.028,592.542,3,-122.474,37.802,18.287
825.828,159.314,1,-122.374,37.734,9.445
729.380,318.589,5,-122.39,37.759,14.323
596.764,152.943,3,-122.412,37.733,24.112
295.364,439.638,2,-122.462,37.778,10.667
343.588,267.621,2,-122.454,37.751,10.922
301.392,0.039,3,-122.461,37.709,20.000
409.896,127.459,3,-122.443,37.729,23.018
566.624,210.282,2,-122.417,37.742,10.556
614.848,541.574,2,-122.409,37.794,10.252
602.792,471.493,2,-122.411,37.783,10.336
235.084,216.653,1,-122.472,37.743,9.794
518.400,216.653,1,-122.425,37.743,9.722
-6.036,369.557,1,-122.512,37.767,9.722
560.596,127.459,2,-122.418,37.729,10.330
729.380,286.734,3,-122.39,37.754,18.591
735.408,254.879,3,-122.389,37.749,17.847
458.120,356.815,1,-122.435,37.765,9.736
524.428,293.105,2,-122.424,37.755,13.333
126.580,254.879,2,-122.49,37.749,12.222
409.896,184.798,2,-122.443,37.738,12.629
596.764,44.636,3,-122.412,37.716,15.278
464.148,127.459,3,-122.434,37.729,17.587
861.996,127.459,2,-122.368,37.729,11.078
542.512,363.186,2,-122.421,37.766,10.093
162.748,509.719,2,-122.484,37.789,11.481
584.708,618.026,2,-122.414,37.806,10.491
500.316,159.314,2,-122.428,37.734,10.932
12.048,395.041,2,-122.509,37.771,10.564
560.596,184.798,3,-122.418,37.738,26.667
223.028,331.331,3,-122.474,37.761,15.556
223.028,452.380,2,-122.474,37.78,12.301
162.748,471.493,2,-122.484,37.783,11.697
560.596,573.429,1,-122.418,37.799,9.669
319.476,458.751,2,-122.458,37.781,11.606
204.944,318.589,2,-122.477,37.759,11.401
602.792,178.427,3,-122.411,37.737,24.028
78.356,197.540,4,-122.498,37.74,34.862
343.588,6.410,5,-122.454,37.71,14.690
765.548,331.331,3,-122.384,37.761,17.778
241.112,254.879,3,-122.471,37.749,24.028
458.120,127.459,3,-122.435,37.729,18.914
765.548,452.380,2,-122.384,37.78,11.111
283.308,356.815,2,-122.464,37.765,12.963
409.896,573.429,2,-122.443,37.799,11.116
632.932,433.267,2,-122.406,37.777,12.477
168.776,465.122,1,-122.483,37.782,9.947
409.896,70.120,2,-122.443,37.72,10.417
271.252,465.122,3,-122.466,37.782,16.151
331.532,356.815,2,-122.456,37.765,10.282
204.944,305.847,2,-122.477,37.757,11.626
84.384,267.621,2,-122.497,37.751,11.187
421.952,414.154,2,-122.441,37.774,12.559
711.296,261.250,3,-122.393,37.75,17.223
482.232,439.638,2,-122.431,37.778,10.695
18.076,407.783,1,-122.508,37.773,9.793
566.624,159.314,3,-122.417,37.734,21.645
620.876,324.960,5,-122.408,37.76,15.000
30.132,318.589,2,-122.506,37.759,10.741
24.104,216.653,2,-122.507,37.743,12.372
765.548,197.540,2,-122.384,37.74,11.095
78.356,331.331,2,-122.498,37.761,10.172
217.000,261.250,2,-122.475,37.75,11.905
210.972,605.284,3,-122.476,37.804,15.463
741.436,350.444,2,-122.388,37.764,11.606
681.156,216.653,3,-122.398,37.743,24.080
168.776,490.606,3,-122.483,37.786,23.278
578.680,414.154,2,-122.415,37.774,10.628
307.420,242.137,3,-122.46,37.747,16.621
217.000,25.523,3,-122.475,37.713,16.263
277.280,267.621,2,-122.465,37.751,11.111
759.520,318.589,2,-122.385,37.759,10.417
373.728,165.685,2,-122.449,37.735,11.667
801.716,146.572,2,-122.378,37.732,12.778
48.216,165.685,2,-122.503,37.735,12.791
452.092,605.284,2,-122.436,37.804,10.186
681.156,541.574,2,-122.398,37.794,11.501
180.832,350.444,2,-122.481,37.764,10.517
391.812,586.171,2,-122.446,37.801,11.111
506.344,44.636,2,-122.427,37.716,11.667
162.748,420.525,2,-122.484,37.775,12.177
470.176,70.120,1,-122.433,37.72,9.723
96.440,407.783,2,-122.495,37.773,13.611
536.484,433.267,2,-122.422,37.777,10.247
427.980,191.169,2,-122.44,37.739,10.278
217.000,484.235,2,-122.475,37.785,11.771
180.832,388.670,2,-122.481,37.77,13.778
343.588,0.039,2,-122.454,37.709,12.222
644.988,235.766,5,-122.404,37.746,14.863
343.588,458.751,2,-122.454,37.781,13.073
705.268,293.105,3,-122.394,37.755,27.006
319.476,6.410,2,-122.458,37.71,10.878
608.820,337.702,1,-122.41,37.762,9.970
675.128,51.007,5,-122.399,37.717,14.386
446.064,108.346,3,-122.437,37.726,15.747
42.188,439.638,2,-122.504,37.778,13.333
759.520,305.847,3,-122.385,37.757,19.862
96.440,108.346,1,-122.495,37.726,9.167
753.492,293.105,3,-122.386,37.755,26.389
500.316,605.284,2,-122.428,37.804,12.703
391.812,76.491,2,-122.446,37.721,10.703
699.240,382.299,3,-122.395,37.769,19.290
229.056,439.638,2,-122.473,37.778,10.671
84.384,121.088,3,-122.497,37.728,17.778
247.140,605.284,5,-122.47,37.804,14.970
337.560,223.024,2,-122.455,37.744,11.222
132.608,216.653,1,-122.489,37.743,9.971
584.708,586.171,2,-122.414,37.801,12.064
36.160,31.894,2,-122.505,37.714,12.222
669.100,547.945,2,-122.4,37.795,11.621
608.820,248.508,2,-122.41,37.748,10.957
-6.036,242.137,3,-122.512,37.747,15.833
476.204,95.604,1,-122.432,37.724,9.167
361.672,146.572,2,-122.451,37.732,10.078
669.100,477.864,2,-122.4,37.784,10.241
427.980,426.896,5,-122.44,37.776,14.861
608.820,350.444,2,-122.41,37.764,11.601
614.848,203.911,3,-122.409,37.741,22.674
277.280,280.363,2,-122.465,37.753,11.167
596.764,363.186,2,-122.412,37.766,10.559
289.336,618.026,3,-122.463,37.806,17.778
313.448,197.540,2,-122.459,37.74,11.412
48.216,312.218,2,-122.503,37.758,13.333
247.140,395.041,5,-122.47,37.771,14.722
259.196,184.798,2,-122.468,37.738,11.360
753.492,344.073,2,-122.386,37.763,12.222
801.716,191.169,2,-122.378,37.739,11.580
241.112,223.024,2,-122.471,37.744,10.555
554.568,426.896,2,-122.419,37.776,10.581
385.784,159.314,2,-122.447,37.734,10.016
717.324,63.749,3,-122.392,37.719,19.444
373.728,280.363,5,-122.449,37.753,29.167
301.392,522.461,2,-122.461,37.791,12.222
518.400,203.911,2,-122.425,37.741,10.000
247.140,382.299,1,-122.47,37.769,9.729
367.700,331.331,5,-122.45,37.761,29.722
524.428,579.800,2,-122.424,37.8,10.345
705.268,344.073,2,-122.394,37.763,10.192
283.308,267.621,2,-122.464,37.751,10.139
144.664,484.235,2,-122.487,37.785,12.222
156.720,324.960,2,-122.485,37.76,10.556
379.756,89.233,3,-122.448,37.723,19.902
874.052,624.397,2,-122.366,37.807,12.431
458.120,165.685,1,-122.435,37.735,9.722
253.168,363.186,2,-122.469,37.766,12.586
144.664,51.007,2,-122.487,37.717,12.500
741.436,477.864,2,-122.388,37.784,12.555
626.904,535.203,2,-122.407,37.793,10.583
440.036,420.525,2,-122.438,37.775,10.318
904.192,121.088,3,-122.361,37.728,24.444
500.316,382.299,3,-122.428,37.769,16.655
204.944,350.444,2,-122.477,37.764,10.415
180.832,12.781,3,-122.481,37.711,17.778
379.756,63.749,3,-122.448,37.719,19.175
277.280,618.026,3,-122.465,37.806,17.778
482.232,51.007,2,-122.431,37.717,10.089
54.244,178.427,2,-122.502,37.737,12.222
434.008,477.864,2,-122.439,37.784,11.018
307.420,57.378,3,-122.46,37.718,24.306
391.812,121.088,3,-122.446,37.728,22.431
150.692,267.621,1,-122.486,37.751,9.167
84.384,76.491,3,-122.497,37.721,16.389
741.436,337.702,2,-122.388,37.762,12.478
120.552,191.169,2,-122.491,37.739,11.667
289.336,516.090,2,-122.463,37.79,11.667
271.252,184.798,2,-122.466,37.738,10.378
30.132,210.282,2,-122.506,37.742,10.232
892.136,191.169,2,-122.363,37.739,13.889
693.212,496.977,2,-122.396,37.787,12.162
729.380,159.314,2,-122.39,37.734,10.415
367.700,369.557,2,-122.45,37.767,10.467
765.548,254.879,5,-122.384,37.749,14.445
259.196,70.120,2,-122.468,37.72,10.100
530.456,490.606,1,-122.423,37.786,9.975
241.112,331.331,1,-122.471,37.761,9.167
904.192,624.397,2,-122.361,37.807,10.556
90.412,382.299,2,-122.496,37.769,13.056
379.756,57.378,3,-122.448,37.718,21.675
301.392,312.218,4,-122.461,37.758,30.278
657.044,305.847,3,-122.402,37.757,22.222
397.840,57.378,3,-122.445,37.718,15.556
367.700,223.024,2,-122.45,37.744,13.030
108.496,420.525,2,-122.493,37.775,10.556
554.568,146.572,3,-122.419,37.732,22.900
90.412,395.041,2,-122.496,37.771,10.371
337.560,567.058,5,-122.455,37.798,14.213
536.484,598.913,3,-122.422,37.803,19.028
602.792,235.766,5,-122.411,37.746,67.778
554.568,6.410,2,-122.419,37.71,10.063
638.960,254.879,2,-122.405,37.749,12.678
566.624,395.041,2,-122.417,37.771,11.672
397.840,579.800,1,-122.445,37.8,9.533
144.664,509.719,2,-122.487,37.789,13.889
747.464,293.105,2,-122.387,37.755,11.801
663.072,356.815,2,-122.401,37.765,10.370
584.708,624.397,2,-122.414,37.807,10.626
813.772,172.056,2,-122.376,37.736,13.889
361.672,426.896,2,-122.451,37.776,10.625
530.456,458.751,2,-122.423,37.781,10.639
427.980,146.572,2,-122.44,37.732,10.014
186.860,254.879,2,-122.48,37.749,10.453
849.940,611.655,3,-122.37,37.805,15.872
699.240,363.186,3,-122.395,37.766,18.883
144.664,25.523,3,-122.487,37.713,15.278
72.328,382.299,2,-122.499,37.769,12.778
198.916,407.783,2,-122.478,37.773,12.646
349.616,114.717,3,-122.453,37.727,15.954
24.104,439.638,4,-122.507,37.778,31.111
210.972,560.687,2,-122.476,37.797,10.556
500.316,324.960,2,-122.428,37.76,10.035
464.148,121.088,3,-122.434,37.728,25.236
349.616,286.734,3,-122.453,37.754,16.964
337.560,433.267,2,-122.455,37.777,12.623
807.744,101.975,3,-122.377,37.725,15.556
795.688,567.058,3,-122.379,37.798,18.796
584.708,165.685,2,-122.414,37.735,10.969
114.524,25.523,3,-122.492,37.713,16.806
434.008,82.862,2,-122.439,37.722,13.452
675.128,439.638,2,-122.399,37.778,11.667
723.352,388.670,2,-122.391,37.77,12.371
614.848,235.766,3,-122.409,37.746,26.111
446.064,140.201,3,-122.437,37.731,22.569
156.720,382.299,2,-122.485,37.769,12.222
446.064,401.412,1,-122.437,37.772,9.983
741.436,318.589,2,-122.388,37.759,11.787
114.524,261.250,2,-122.492,37.75,10.556
138.636,127.459,5,-122.488,37.729,14.213
717.324,133.830,2,-122.392,37.73,10.727
440.036,509.719,2,-122.438,37.789,10.548
415.924,496.977,2,-122.442,37.787,12.358
217.000,439.638,1,-122.475,37.778,9.444
