x,y,bucket,longitude,latitude,speed
584.708,471.493,2,-122.414,37.783,11.111
566.624,331.331,2,-122.417,37.761,10.216
361.672,598.913,3,-122.451,37.803,17.716
90.412,452.380,2,-122.496,37.78,10.162
229.056,152.943,2,-122.473,37.733,10.354
90.412,331.331,1,-122.496,37.761,9.663
669.100,420.525,2,-122.4,37.775,10.278
36.160,210.282,2,-122.505,37.742,10.695
596.764,299.476,2,-122.412,37.756,10.278
48.216,89.233,3,-122.503,37.723,18.889
566.624,452.380,1,-122.417,37.78,8.889
608.820,439.638,2,-122.41,37.778,10.556
434.008,95.604,1,-122.439,37.724,9.653
717.324,280.363,1,-122.392,37.753,9.445
608.820,89.233,1,-122.41,37.723,8.056
66.300,140.201,2,-122.5,37.731,13.195
331.532,31.894,1,-122.456,37.714,8.612
735.408,458.751,1,-122.389,37.781,9.778
759.520,133.830,2,-122.385,37.73,12.778
440.036,12.781,1,-122.438,37.711,8.148
-0.008,388.670,2,-122.511,37.77,13.556
705.268,76.491,1,-122.394,37.721,8.056
717.324,312.218,3,-122.392,37.758,15.764
120.552,407.783,2,-122.491,37.773,13.333
657.044,509.719,2,-122.402,37.789,11.070
657.044,101.975,2,-122.402,37.725,12.926
289.336,19.152,2,-122.463,37.712,10.417
675.128,356.815,1,-122.399,37.765,9.954
741.436,273.992,2,-122.388,37.752,11.865
36.160,172.056,1,-122.505,37.736,9.167
729.380,433.267,2,-122.39,37.777,11.389
235.084,70.120,1,-122.472,37.72,9.056
711.296,516.090,1,-122.393,37.79,8.612
548.540,363.186,1,-122.42,37.766,9.260
632.932,395.041,3,-122.406,37.771,15.401
506.344,254.879,1,-122.427,37.749,8.056
554.568,414.154,1,-122.419,37.774,8.766
518.400,70.120,1,-122.425,37.72,9.167
66.300,401.412,2,-122.5,37.772,11.042
102.468,223.024,2,-122.494,37.744,12.570
229.056,38.265,1,-122.473,37.715,9.931
693.212,490.606,2,-122.396,37.786,12.222
675.128,528.832,3,-122.399,37.792,16.609
