x,y,bucket,longitude,latitude,speed
663.072,344.073,2,-122.401,37.763,11.493
84.384,133.830,3,-122.497,37.73,15.066
729.380,235.766,3,-122.39,37.746,26.840
687.184,178.427,1,-122.397,37.737,9.964
458.120,31.894,5,-122.435,37.714,10.613
783.632,203.911,5,-122.381,37.741,10.880
644.988,324.960,3,-122.404,37.76,22.500
566.624,401.412,5,-122.417,37.772,10.486
789.660,554.316,3,-122.38,37.796,20.992
210.972,401.412,3,-122.476,37.772,15.374
301.392,63.749,3,-122.461,37.719,21.389
687.184,496.977,5,-122.397,37.787,10.417
825.828,509.719,3,-122.374,37.789,18.333
440.036,38.265,2,-122.438,37.715,11.251
566.624,140.201,3,-122.417,37.731,16.189
554.568,229.395,1,-122.419,37.745,10.000
210.972,140.201,1,-122.476,37.731,9.590
512.372,203.911,1,-122.426,37.741,9.804
180.832,216.653,1,-122.481,37.743,9.681
849.940,127.459,5,-122.37,37.729,10.550
500.316,178.427,5,-122.428,37.737,10.479
114.524,38.265,3,-122.492,37.715,16.710
415.924,324.960,2,-122.442,37.76,11.207
247.140,496.977,2,-122.47,37.787,11.111
741.436,541.574,3,-122.388,37.794,15.695
295.364,395.041,3,-122.462,37.771,15.833
711.296,350.444,3,-122.393,37.764,23.402
144.664,318.589,5,-122.487,37.759,10.417
409.896,414.154,1,-122.443,37.774,9.889
30.132,439.638,5,-122.506,37.778,10.445
331.532,242.137,2,-122.456,37.747,12.303
488.260,560.687,5,-122.43,37.797,10.556
651.016,363.186,5,-122.403,37.766,10.156
403.868,178.427,5,-122.444,37.737,10.312
114.524,248.508,1,-122.492,37.748,9.879
771.576,401.412,2,-122.383,37.772,13.889
132.608,388.670,5,-122.489,37.77,14.722
741.436,95.604,3,-122.388,37.724,17.778
855.968,375.928,2,-122.369,37.768,12.222
6.020,458.751,1,-122.51,37.781,9.445
524.428,618.026,1,-122.424,37.806,9.647
717.324,522.461,2,-122.392,37.791,11.129
229.056,12.781,3,-122.473,37.711,18.889
789.660,210.282,5,-122.38,37.742,14.275
482.232,318.589,2,-122.431,37.759,11.111
-0.008,350.444,2,-122.511,37.764,11.667
283.308,31.894,1,-122.464,37.714,9.814
476.204,388.670,1,-122.432,37.77,9.167
108.496,446.009,1,-122.493,37.779,9.927
819.800,191.169,3,-122.375,37.739,23.056
560.596,414.154,5,-122.418,37.774,10.314
397.840,522.461,5,-122.445,37.791,10.124
144.664,286.734,1,-122.487,37.754,9.799
440.036,152.943,2,-122.438,37.733,11.111
602.792,159.314,3,-122.411,37.734,19.929
72.328,401.412,2,-122.499,37.772,12.163
114.524,152.943,2,-122.492,37.733,12.037
452.092,401.412,5,-122.436,37.772,14.815
789.660,172.056,2,-122.38,37.736,12.167
60.272,433.267,5,-122.501,37.777,10.139
72.328,140.201,3,-122.499,37.731,15.322
367.700,375.928,5,-122.45,37.768,10.220
548.540,573.429,1,-122.42,37.799,9.548
741.436,216.653,5,-122.388,37.743,10.321
319.476,433.267,1,-122.458,37.777,9.448
421.952,70.120,2,-122.441,37.72,11.945
452.092,140.201,2,-122.436,37.731,13.871
180.832,541.574,2,-122.481,37.794,13.333
681.156,350.444,1,-122.398,37.764,9.746
367.700,490.606,1,-122.45,37.786,9.722
403.868,496.977,5,-122.444,37.787,10.546
777.604,280.363,2,-122.382,37.753,11.945
391.812,592.542,2,-122.446,37.802,13.611
464.148,31.894,5,-122.434,37.714,10.695
584.708,293.105,5,-122.414,37.755,10.393
325.504,242.137,2,-122.457,37.747,11.623
24.104,363.186,5,-122.507,37.766,14.722
409.896,31.894,5,-122.443,37.714,10.653
530.456,293.105,5,-122.423,37.755,10.556
